"","title","employ22","employ32","med_wage","entry_educ","onjob_training"
"558","Occupational therapy aides",3.8,4,37060,"High school diploma or equivalent","Short-term on-the-job training"
"559","Occupational therapy assistants",45.1,56,64250,"Associate's degree","None"
"560","Office and administrative support workers, all other",215.1,197.3,38660,"High school diploma or equivalent","Short-term on-the-job training"
"561","Office clerks, general",2668.2,2492.8,38040,"High school diploma or equivalent","Short-term on-the-job training"
"562","Office machine operators, except computer",31.6,27.1,36710,"High school diploma or equivalent","Short-term on-the-job training"
"563","Operating engineers and other construction equipment operators",437.6,449.2,51430,"High school diploma or equivalent","Moderate-term on-the-job training"
"564","Operations research analysts",109.9,134.7,85720,"Bachelor's degree","None"
"565","Ophthalmic laboratory technicians",21.3,21.6,36810,"High school diploma or equivalent","Moderate-term on-the-job training"
"566","Ophthalmic medical technicians",66.5,74.9,38860,"Postsecondary nondegree award","None"
"567","Ophthalmologists, except pediatric",12.8,13.3,219810,"Doctoral or professional degree","Internship/residency"
"568","Opticians, dispensing",73.3,75.2,39610,"High school diploma or equivalent","Long-term on-the-job training"
"569","Optometrists",43.4,47.3,125590,"Doctoral or professional degree","None"
"570","Oral and maxillofacial surgeons",4.9,5.1,239200,"Doctoral or professional degree","Internship/residency"
"571","Order clerks",132.8,108.6,38060,"Some college, no degree","Short-term on-the-job training"
"572","Orderlies",45.5,47.4,34520,"High school diploma or equivalent","Short-term on-the-job training"
"573","Orthodontists",7.2,7.5,174360,"Doctoral or professional degree","Internship/residency"
"574","Orthopedic surgeons, except pediatric",19.4,19.7,239200,"Doctoral or professional degree","Internship/residency"
"575","Orthotists and prosthetists",9.5,10.9,77070,"Master's degree","Internship/residency"
"576","Outdoor power equipment and other small engine mechanics",41.6,42.1,40030,"High school diploma or equivalent","Moderate-term on-the-job training"
"577","Packaging and filling machine operators and tenders",373.2,390.5,36750,"High school diploma or equivalent","Moderate-term on-the-job training"
"578","Packers and packagers, hand",659.6,652.9,32920,"No formal educational credential","Short-term on-the-job training"
"579","Painters, construction and maintenance",372.4,377.9,46090,"No formal educational credential","Moderate-term on-the-job training"
"580","Painting, coating, and decorating workers",13.5,13.5,38270,"No formal educational credential","Moderate-term on-the-job training"
"581","Paper goods machine setters, operators, and tenders",92.7,82.5,45710,"High school diploma or equivalent","Moderate-term on-the-job training"
"582","Paperhangers",3.9,4,44930,"No formal educational credential","Long-term on-the-job training"
"583","Paralegals and legal assistants",354.3,369.1,59200,"Associate's degree","None"
"584","Paramedics",98.3,103.6,49090,"Postsecondary nondegree award","None"
"585","Parking attendants",108.4,110,30570,"No formal educational credential","Short-term on-the-job training"
"586","Parking enforcement workers",9,8.9,41570,"High school diploma or equivalent","Short-term on-the-job training"
"587","Parts salespersons",266.1,268.7,35800,"No formal educational credential","Moderate-term on-the-job training"
"588","Passenger attendants",13.5,14,34630,"High school diploma or equivalent","Short-term on-the-job training"
"589","Patternmakers, metal and plastic",2.3,1.8,54970,"High school diploma or equivalent","Moderate-term on-the-job training"
"590","Patternmakers, wood",0.5,0.5,44290,"High school diploma or equivalent","Moderate-term on-the-job training"
"591","Paving, surfacing, and tamping equipment operators",42.3,43.9,47270,"High school diploma or equivalent","Moderate-term on-the-job training"
"592","Payroll and timekeeping clerks",165.4,138.3,49630,"High school diploma or equivalent","Moderate-term on-the-job training"
"593","Pediatric surgeons",0.8,0.8,239200,"Doctoral or professional degree","Internship/residency"
"594","Pediatricians, general",35.9,36.2,190350,"Doctoral or professional degree","Internship/residency"
"595","Personal care and service workers, all other",87,104.9,34670,"High school diploma or equivalent","Short-term on-the-job training"
"596","Personal financial advisors",327.6,369.6,95390,"Bachelor's degree","Long-term on-the-job training"
"597","Personal service managers, all other",23.1,24.1,56090,"High school diploma or equivalent","None"
"598","Pest control workers",95,98,38310,"High school diploma or equivalent","Moderate-term on-the-job training"
"599","Pesticide handlers, sprayers, and applicators, vegetation",23.2,23.7,41440,"High school diploma or equivalent","Moderate-term on-the-job training"
"600","Petroleum engineers",21.4,21.9,131800,"Bachelor's degree","None"
"601","Petroleum pump system operators, refinery operators, and gaugers",32.2,31.5,85090,"High school diploma or equivalent","Moderate-term on-the-job training"
"602","Pharmacists",334.2,342.9,132750,"Doctoral or professional degree","None"
"603","Pharmacy aides",43.7,42.4,33270,"High school diploma or equivalent","Short-term on-the-job training"
"604","Pharmacy technicians",459.6,485.5,37790,"High school diploma or equivalent","Moderate-term on-the-job training"
"605","Philosophy and religion teachers, postsecondary",29.1,29.9,78780,"Doctoral or professional degree","None"
"606","Phlebotomists",139.4,150.2,38530,"Postsecondary nondegree award","None"
"607","Photographers",148.9,155,40170,"High school diploma or equivalent","Moderate-term on-the-job training"
"608","Photographic process workers and processing machine operators",6.4,5.6,36280,"High school diploma or equivalent","Short-term on-the-job training"
"609","Physical scientists, all other",25.4,25.9,107970,"Bachelor's degree","None"
"610","Physical therapist aides",44.5,45.8,31410,"High school diploma or equivalent","Short-term on-the-job training"
"611","Physical therapist assistants",100.7,126.9,62770,"Associate's degree","None"
"612","Physical therapists",246.8,284.1,97720,"Doctoral or professional degree","None"
"613","Physician assistants",148,187.3,126010,"Master's degree","None"
"614","Physicians, all other",330.9,341,223410,"Doctoral or professional degree","Internship/residency"
"615","Physicians, pathologists",13.2,13.9,239200,"Doctoral or professional degree","Internship/residency"
"616","Physicists",21.1,22.1,142850,"Doctoral or professional degree","None"
"617","Physics teachers, postsecondary",16.2,16.8,86550,"Doctoral or professional degree","None"
"618","Pile driver operators",3.3,3.4,64310,"High school diploma or equivalent","Moderate-term on-the-job training"
"619","Pipelayers",38,36.3,45990,"No formal educational credential","Short-term on-the-job training"
"620","Plant and system operators, all other",15.9,15.9,57470,"High school diploma or equivalent","Moderate-term on-the-job training"
"621","Plasterers and stucco masons",27.3,27.9,49730,"No formal educational credential","Long-term on-the-job training"
"622","Plating machine setters, operators, and tenders, metal and plastic",32.9,29.8,37900,"High school diploma or equivalent","Moderate-term on-the-job training"
"623","Plumbers, pipefitters, and steamfitters",482.7,493.6,60090,"High school diploma or equivalent","Apprenticeship"
"624","Podiatrists",10.6,10.7,148720,"Doctoral or professional degree","Internship/residency"
"625","Police and sheriff's patrol officers",684,706.5,65790,"High school diploma or equivalent","Moderate-term on-the-job training"
"626","Political science teachers, postsecondary",19.3,20,83770,"Doctoral or professional degree","None"
"627","Political scientists",6.2,6.6,128020,"Master's degree","None"
"628","Postal service clerks",74.8,69.8,56200,"No formal educational credential","Short-term on-the-job training"
"629","Postal service mail carriers",314.5,293.5,54250,"No formal educational credential","Short-term on-the-job training"
"630","Postal service mail sorters, processors, and processing machine operators",115,102.1,49130,"No formal educational credential","Short-term on-the-job training"
"631","Postmasters and mail superintendents",13,12.1,82760,"High school diploma or equivalent","Moderate-term on-the-job training"
"632","Postsecondary teachers, all other",262.8,272.3,76920,"Doctoral or professional degree","None"
"633","Pourers and casters, metal",6.2,5.6,45070,"High school diploma or equivalent","Moderate-term on-the-job training"
"634","Power distributors and dispatchers",9.6,9.1,101650,"High school diploma or equivalent","Long-term on-the-job training"
"635","Power plant operators",32.2,28.2,93060,"High school diploma or equivalent","Long-term on-the-job training"
"636","Precision instrument and equipment repairers, all other",12.1,12.1,61690,"High school diploma or equivalent","Long-term on-the-job training"
"637","Prepress technicians and workers",25.7,21.3,43560,"Postsecondary nondegree award","None"
"638","Preschool teachers, except special education",512.3,529.6,35330,"Associate's degree","None"
"639","Pressers, textile, garment, and related materials",29.8,23.3,29690,"No formal educational credential","Short-term on-the-job training"
"640","Print binding and finishing workers",41.4,34.6,36970,"High school diploma or equivalent","Moderate-term on-the-job training"
"641","Printing press operators",155.5,142.3,39350,"High school diploma or equivalent","Moderate-term on-the-job training"
"642","Private detectives and investigators",38.3,40.6,52120,"High school diploma or equivalent","Moderate-term on-the-job training"
"643","Probation officers and correctional treatment specialists",93.9,96.2,59860,"Bachelor's degree","Moderate-term on-the-job training"
"644","Procurement clerks",65.3,60.4,45240,"High school diploma or equivalent","Moderate-term on-the-job training"
"645","Producers and directors",175.3,187,85320,"Bachelor's degree","None"
"646","Production workers, all other",275.3,279.2,35490,"High school diploma or equivalent","Moderate-term on-the-job training"
"647","Production, planning, and expediting clerks",396.8,413.3,50630,"High school diploma or equivalent","Moderate-term on-the-job training"
"648","Project management specialists",881.3,936,95370,"Bachelor's degree","None"
"649","Proofreaders and copy markers",7.2,6.9,45410,"Bachelor's degree","None"
"650","Property appraisers and assessors",77.6,81.1,61560,"Bachelor's degree","Long-term on-the-job training"
"651","Property, real estate, and community association managers",429.6,453,60670,"High school diploma or equivalent","Short-term on-the-job training"
"652","Prosthodontists",0.4,0.5,NA,"Doctoral or professional degree","Internship/residency"
"653","Protective service workers, all other",95,97.9,36460,"High school diploma or equivalent","Short-term on-the-job training"
"654","Psychiatric aides",32.4,34,37160,"High school diploma or equivalent","Short-term on-the-job training"
"655","Psychiatric technicians",107.1,117.5,37380,"Postsecondary nondegree award","Short-term on-the-job training"
"656","Psychiatrists",28.6,30.5,226880,"Doctoral or professional degree","Internship/residency"
"657","Psychologists, all other",56.3,59.1,106420,"Master's degree","Internship/residency"
"658","Psychology teachers, postsecondary",50.9,53.6,78810,"Doctoral or professional degree","None"
"659","Public relations managers",72,76.3,129430,"Bachelor's degree","None"
"660","Public relations specialists",297.1,315.1,67440,"Bachelor's degree","None"
"661","Public safety telecommunicators",99.5,102.9,46900,"High school diploma or equivalent","Moderate-term on-the-job training"
"662","Pump operators, except wellhead pumpers",11.2,11.6,55860,"High school diploma or equivalent","Moderate-term on-the-job training"
"663","Purchasing managers",77.5,80.9,131350,"Bachelor's degree","None"
"664","Radiation therapists",15.9,16.3,89530,"Associate's degree","None"
"665","Radio, cellular, and tower equipment installers and repairers",13.5,13.9,59720,"Associate's degree","Moderate-term on-the-job training"
"666","Radiologic technologists and technicians",222.8,235,65140,"Associate's degree","None"
"667","Radiologists",31.2,32.4,239200,"Doctoral or professional degree","Internship/residency"
"668","Rail car repairers",20.1,20.8,62510,"High school diploma or equivalent","Long-term on-the-job training"
"669","Rail transportation workers, all other",2.4,2.4,42280,"High school diploma or equivalent","Moderate-term on-the-job training"
"670","Rail yard engineers, dinkey operators, and hostlers",2.6,2.6,56340,"High school diploma or equivalent","Moderate-term on-the-job training"
"671","Rail-track laying and maintenance equipment operators",16.5,16.7,63230,"High school diploma or equivalent","Moderate-term on-the-job training"
"672","Railroad brake, signal, and switch operators and locomotive firers",12.2,12.3,67540,"High school diploma or equivalent","Moderate-term on-the-job training"
"673","Railroad conductors and yardmasters",34.2,34.6,68180,"High school diploma or equivalent","Moderate-term on-the-job training"
"674","Real estate brokers",127.2,131.6,62190,"High school diploma or equivalent","None"
"675","Real estate sales agents",462.6,477.6,49980,"High school diploma or equivalent","Moderate-term on-the-job training"
"676","Receptionists and information clerks",1068.8,1072.7,33960,"High school diploma or equivalent","Short-term on-the-job training"
"677","Recreation and fitness studies teachers, postsecondary",16.3,16.8,72650,"Doctoral or professional degree","None"
"678","Recreation workers",289.4,302.7,31680,"High school diploma or equivalent","Short-term on-the-job training"
"679","Recreational therapists",16.8,17.4,51330,"Bachelor's degree","None"
"680","Recreational vehicle service technicians",17.7,19.4,45030,"High school diploma or equivalent","Long-term on-the-job training"
"681","Refractory materials repairers, except brickmasons",0.6,0.5,50550,"High school diploma or equivalent","Moderate-term on-the-job training"
"682","Refuse and recyclable material collectors",146.4,151.1,43540,"No formal educational credential","Short-term on-the-job training"
"683","Registered nurses",3172.5,3349.9,81220,"Bachelor's degree","None"
"684","Rehabilitation counselors",84.8,86.4,39990,"Master's degree","None"
"685","Reinforcing iron and rebar workers",22.8,23.1,51070,"High school diploma or equivalent","Apprenticeship"
"686","Religious workers, all other",75.8,76.2,39370,"Bachelor's degree","None"
"687","Reservation and transportation ticket agents and travel clerks",123,124.6,39160,"High school diploma or equivalent","Short-term on-the-job training"
"688","Residential advisors",95.7,101.4,35720,"High school diploma or equivalent","Short-term on-the-job training"
"689","Respiratory therapists",133.1,149.8,70540,"Associate's degree","None"
"690","Retail salespersons",3765.6,3686.4,30600,"No formal educational credential","Short-term on-the-job training"
"691","Riggers",19.7,20,54680,"High school diploma or equivalent","Moderate-term on-the-job training"
"692","Rock splitters, quarry",4.1,4.1,46010,"No formal educational credential","Short-term on-the-job training"
"693","Rolling machine setters, operators, and tenders, metal and plastic",28.2,25.1,46310,"High school diploma or equivalent","Moderate-term on-the-job training"
"694","Roof bolters, mining",1.8,1.3,60210,"High school diploma or equivalent","Moderate-term on-the-job training"
"695","Roofers",154.5,157.6,47920,"No formal educational credential","Moderate-term on-the-job training"
"696","Rotary drill operators, oil and gas",13.2,13.2,55260,"No formal educational credential","Moderate-term on-the-job training"
"697","Roustabouts, oil and gas",42.1,43.3,43590,"No formal educational credential","Moderate-term on-the-job training"
"698","Sailors and marine oilers",30.7,31.3,47490,"No formal educational credential","Moderate-term on-the-job training"
"699","Sales and related workers, all other",136.8,142.9,44120,"High school diploma or equivalent","None"
"700","Sales engineers",60.9,63.8,108530,"Bachelor's degree","Moderate-term on-the-job training"
"701","Sales managers",554.7,577.2,130600,"Bachelor's degree","None"
"702","Sales representatives of services, except advertising, insurance, financial services, and travel",1113.2,1158.9,62400,"High school diploma or equivalent","Moderate-term on-the-job training"
"703","Sales representatives, wholesale and manufacturing, except technical and scientific products",1344.3,1353.4,63230,"High school diploma or equivalent","Moderate-term on-the-job training"
"704","Sales representatives, wholesale and manufacturing, technical and scientific products",305.6,317.1,97710,"Bachelor's degree","Moderate-term on-the-job training"
"705","Sawing machine setters, operators, and tenders, wood",49.4,49.5,36270,"High school diploma or equivalent","Moderate-term on-the-job training"
"706","School bus monitors",62.4,60.1,29880,"High school diploma or equivalent","Short-term on-the-job training"
"707","School psychologists",62.2,63,81500,"Master's degree","Internship/residency"
"708","Secondary school teachers, except special and career/technical education",1072.3,1083.4,62360,"Bachelor's degree","None"
"709","Secretaries and administrative assistants, except legal, medical, and executive",2030.2,1794.3,41000,"High school diploma or equivalent","Short-term on-the-job training"
"710","Securities, commodities, and financial services sales agents",482.2,517.7,67480,"Bachelor's degree","Moderate-term on-the-job training"
"711","Security and fire alarm systems installers",83,85.3,50130,"High school diploma or equivalent","Moderate-term on-the-job training"
"712","Security guards",1155.9,1141,34750,"High school diploma or equivalent","Short-term on-the-job training"
"713","Self-enrichment teachers",354.7,366.1,44110,"High school diploma or equivalent","None"
"714","Semiconductor processing technicians",24.6,26.6,44690,"High school diploma or equivalent","Moderate-term on-the-job training"
"715","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",55.6,57.6,46250,"High school diploma or equivalent","Moderate-term on-the-job training"
"716","Septic tank servicers and sewer pipe cleaners",29.5,31.7,45610,"High school diploma or equivalent","Moderate-term on-the-job training"
"717","Service unit operators, oil and gas",39.5,39.5,50140,"No formal educational credential","Moderate-term on-the-job training"
"718","Set and exhibit designers",27.8,29.8,59990,"Bachelor's degree","None"
"719","Sewers, hand",6.9,5.8,31530,"No formal educational credential","Moderate-term on-the-job training"
"720","Sewing machine operators",141.9,120.3,31740,"No formal educational credential","Short-term on-the-job training"
"721","Shampooers",11.3,12.6,27860,"No formal educational credential","Short-term on-the-job training"
"722","Sheet metal workers",126.2,126,55350,"High school diploma or equivalent","Apprenticeship"
"723","Ship engineers",9.3,9.4,87300,"Postsecondary nondegree award","None"
"724","Shipping, receiving, and inventory clerks",862.9,790.6,37760,"High school diploma or equivalent","Short-term on-the-job training"
"725","Shoe and leather workers and repairers",9.8,8.7,32460,"High school diploma or equivalent","Moderate-term on-the-job training"
"726","Shoe machine operators and tenders",3.3,2.9,33060,"High school diploma or equivalent","Short-term on-the-job training"
"727","Shuttle drivers and chauffeurs",218.4,235.9,32800,"No formal educational credential","Short-term on-the-job training"
"728","Signal and track switch repairers",6.6,6.7,81300,"High school diploma or equivalent","Moderate-term on-the-job training"
"729","Skincare specialists",82,89.4,38060,"Postsecondary nondegree award","None"
"730","Slaughterers and meat packers",81.1,80.3,35240,"No formal educational credential","Short-term on-the-job training"
"731","Social and community service managers",178.4,194.6,74240,"Bachelor's degree","None"
"732","Social and human service assistants",415.1,450.6,38520,"High school diploma or equivalent","Short-term on-the-job training"
"733","Social science research assistants",34.4,36,50470,"Bachelor's degree","None"
"734","Social sciences teachers, postsecondary, all other",19.2,19.7,75390,"Doctoral or professional degree","None"
"735","Social scientists and related workers, all other",36.5,37.2,88900,"Bachelor's degree","None"
"736","Social work teachers, postsecondary",15.5,16.1,66510,"Doctoral or professional degree","None"
"737","Social workers, all other",68.4,72.9,61420,"Bachelor's degree","None"
"738","Sociologists",3.3,3.4,98590,"Master's degree","None"
"739","Sociology teachers, postsecondary",15,15.5,78970,"Doctoral or professional degree","None"
"740","Software developers",1594.5,2004.9,127260,"Bachelor's degree","None"
"741","Software quality assurance analysts and testers",200.8,241.6,99620,"Bachelor's degree","None"
"742","Soil and plant scientists",17.2,18.1,65730,"Bachelor's degree","None"
"743","Solar photovoltaic installers",29.4,35.9,45230,"High school diploma or equivalent","Moderate-term on-the-job training"
"744","Sound engineering technicians",17.6,17.4,60670,"Postsecondary nondegree award","Short-term on-the-job training"
"745","Special education teachers, all other",43.9,45.2,63950,"Bachelor's degree","None"
"746","Special education teachers, kindergarten and elementary school",194.7,194.6,62390,"Bachelor's degree","None"
"747","Special education teachers, middle school",82.8,82.6,62990,"Bachelor's degree","None"
"748","Special education teachers, preschool",23.8,24.3,62240,"Bachelor's degree","None"
"749","Special education teachers, secondary school",153.2,154,63560,"Bachelor's degree","None"
"750","Special effects artists and animators",89.3,96.6,98950,"Bachelor's degree","None"
"751","Speech-language pathologists",171.4,204.5,84140,"Master's degree","Internship/residency"
"752","Stationary engineers and boiler operators",33.5,34.4,67120,"High school diploma or equivalent","Long-term on-the-job training"
"753","Statistical assistants",7.4,7.2,48880,"Bachelor's degree","None"
"754","Statisticians",33.3,43.9,98920,"Master's degree","None"
"755","Stockers and order fillers",2851.6,3030.3,34220,"High school diploma or equivalent","Short-term on-the-job training"
"756","Stonemasons",13.5,12.7,50210,"High school diploma or equivalent","Apprenticeship"
"757","Structural iron and steel workers",71.6,72.9,60500,"High school diploma or equivalent","Apprenticeship"
"758","Structural metal fabricators and fitters",59.6,49.8,47200,"High school diploma or equivalent","Moderate-term on-the-job training"
"759","Substance abuse, behavioral disorder, and mental health counselors",388.2,459.6,49710,"Bachelor's degree","None"
"760","Substitute teachers, short-term",421.6,438.9,35250,"Bachelor's degree","None"
"761","Subway and streetcar operators",9.5,9.8,88260,"High school diploma or equivalent","Moderate-term on-the-job training"
"762","Surgeons, all other",26.5,26.8,239200,"Doctoral or professional degree","Internship/residency"
"763","Surgical assistants",19.7,20.7,57290,"Postsecondary nondegree award","None"
"764","Surgical technologists",109.2,115.2,55960,"Postsecondary nondegree award","None"
"765","Survey researchers",8.8,8.4,60410,"Master's degree","None"
"766","Surveying and mapping technicians",64.2,66.3,47180,"High school diploma or equivalent","Moderate-term on-the-job training"
"767","Surveyors",50.8,53.1,63080,"Bachelor's degree","Internship/residency"
"768","Switchboard operators, including answering service",48.4,36.2,34670,"High school diploma or equivalent","Short-term on-the-job training"
"769","Tailors, dressmakers, and custom sewers",33.9,29.3,34280,"No formal educational credential","Moderate-term on-the-job training"
"770","Tank car, truck, and ship loaders",13.3,13.5,53930,"No formal educational credential","Short-term on-the-job training"
"771","Tapers",18.1,17.7,62360,"No formal educational credential","Moderate-term on-the-job training"
"772","Tax examiners and collectors, and revenue agents",55,55.4,57950,"Bachelor's degree","Moderate-term on-the-job training"
"773","Tax preparers",109.5,111.1,48250,"High school diploma or equivalent","Moderate-term on-the-job training"
"774","Taxi drivers",177.3,213.7,30670,"No formal educational credential","Short-term on-the-job training"
"775","Teachers and instructors, all other",148,150.9,61250,"Bachelor's degree","None"
"776","Teaching assistants, except postsecondary",1298.9,1299.8,30920,"Some college, no degree","None"
"777","Teaching assistants, postsecondary",170.2,177.3,38050,"Bachelor's degree","None"
"778","Technical writers",53.3,57,79960,"Bachelor's degree","Short-term on-the-job training"
"779","Telecommunications equipment installers and repairers, except line installers",173.7,184.7,59960,"Postsecondary nondegree award","Moderate-term on-the-job training"
"780","Telecommunications line installers and repairers",112.1,119.6,60580,"High school diploma or equivalent","Long-term on-the-job training"
"781","Telemarketers",97.7,77.6,31030,"No formal educational credential","Short-term on-the-job training"
"782","Telephone operators",4.1,3,38330,"High school diploma or equivalent","Short-term on-the-job training"
"783","Tellers",364.1,311.1,36380,"High school diploma or equivalent","Short-term on-the-job training"
"784","Terrazzo workers and finishers",1.6,1.4,52330,"High school diploma or equivalent","Apprenticeship"
"785","Textile bleaching and dyeing machine operators and tenders",7,6.4,32680,"High school diploma or equivalent","Short-term on-the-job training"
"786","Textile cutting machine setters, operators, and tenders",11.1,9.9,34420,"High school diploma or equivalent","Moderate-term on-the-job training"
"787","Textile knitting and weaving machine setters, operators, and tenders",17.8,15.9,35750,"High school diploma or equivalent","Short-term on-the-job training"
"788","Textile winding, twisting, and drawing out machine setters, operators, and tenders",25,22.9,33720,"High school diploma or equivalent","Moderate-term on-the-job training"
"789","Textile, apparel, and furnishings workers, all other",14.3,13.2,32640,"High school diploma or equivalent","Short-term on-the-job training"
"790","Therapists, all other",42.3,47.5,60800,"Bachelor's degree","None"
"791","Tile and stone setters",59.4,63.5,48340,"No formal educational credential","Long-term on-the-job training"
"792","Timing device assemblers and adjusters",0.4,0.3,42290,"High school diploma or equivalent","Moderate-term on-the-job training"
"793","Tire builders",18.9,18.1,51650,"High school diploma or equivalent","Moderate-term on-the-job training"
"794","Tire repairers and changers",103.8,105,34240,"High school diploma or equivalent","Short-term on-the-job training"
"795","Title examiners, abstractors, and searchers",62.2,63.3,50490,"High school diploma or equivalent","Moderate-term on-the-job training"
"796","Tool and die makers",62.7,57.4,59800,"Postsecondary nondegree award","Long-term on-the-job training"
"797","Tool grinders, filers, and sharpeners",5.5,5,41940,"High school diploma or equivalent","Moderate-term on-the-job training"
"798","Tour and travel guides",53.6,58,34440,"High school diploma or equivalent","Moderate-term on-the-job training"
"799","Traffic technicians",7.6,7.9,50050,"High school diploma or equivalent","Moderate-term on-the-job training"
"800","Training and development managers",41.3,44,120000,"Bachelor's degree","None"
"801","Training and development specialists",385.8,409.9,63080,"Bachelor's degree","None"
"802","Transit and railroad police",3.4,3.5,69150,"High school diploma or equivalent","Moderate-term on-the-job training"
"803","Transportation inspectors",25.7,26.4,79570,"High school diploma or equivalent","Moderate-term on-the-job training"
"804","Transportation security screeners",51.3,51.3,47710,"High school diploma or equivalent","Short-term on-the-job training"
"805","Transportation workers, all other",12.1,12.6,37430,"High school diploma or equivalent","Short-term on-the-job training"
"806","Transportation, storage, and distribution managers",177.7,192.3,98560,"High school diploma or equivalent","None"
"807","Travel agents",66.3,68.6,46400,"High school diploma or equivalent","Moderate-term on-the-job training"
"808","Tree trimmers and pruners",66,67.6,47080,"High school diploma or equivalent","Short-term on-the-job training"
"809","Tutors",223.7,231.1,36680,"Some college, no degree","None"
"810","Umpires, referees, and other sports officials",20.4,22.4,36010,"High school diploma or equivalent","Moderate-term on-the-job training"
"811","Underground mining machine operators, all other",2.3,2,64180,"No formal educational credential","Moderate-term on-the-job training"
"812","Upholsterers",31.5,30.7,39600,"High school diploma or equivalent","Moderate-term on-the-job training"
"813","Urban and regional planners",44.7,46.4,79540,"Master's degree","None"
"814","Ushers, lobby attendants, and ticket takers",106.6,108.3,27650,"No formal educational credential","Short-term on-the-job training"
"815","Veterinarians",89.5,107.2,103260,"Doctoral or professional degree","None"
"816","Veterinary assistants and laboratory animal caretakers",114.8,138.3,34740,"High school diploma or equivalent","Short-term on-the-job training"
"817","Veterinary technologists and technicians",122.9,148.1,38240,"Associate's degree","None"
"818","Waiters and waitresses",2194.1,2125.5,29120,"No formal educational credential","Short-term on-the-job training"
"819","Watch and clock repairers",2.1,1.4,48370,"High school diploma or equivalent","Long-term on-the-job training"
"820","Water and wastewater treatment plant and system operators",124.8,116.9,51600,"High school diploma or equivalent","Long-term on-the-job training"
"821","Web and digital interface designers",117.9,135.8,83240,"Bachelor's degree","None"
"822","Web developers",98.8,115.5,78580,"Bachelor's degree","None"
"823","Weighers, measurers, checkers, and samplers, recordkeeping",55.6,54,39950,"High school diploma or equivalent","Short-term on-the-job training"
"824","Welders, cutters, solderers, and brazers",431.8,438,47540,"High school diploma or equivalent","Moderate-term on-the-job training"
"825","Welding, soldering, and brazing machine setters, operators, and tenders",32.9,30.1,44920,"High school diploma or equivalent","Moderate-term on-the-job training"
"826","Wellhead pumpers",16.2,15.9,63280,"High school diploma or equivalent","Moderate-term on-the-job training"
"827","Wind turbine service technicians",11.2,16.2,57320,"Postsecondary nondegree award","Long-term on-the-job training"
"828","Woodworkers, all other",13.5,13,35370,"High school diploma or equivalent","Moderate-term on-the-job training"
"829","Woodworking machine setters, operators, and tenders, except sawing",64.6,63.9,36830,"High school diploma or equivalent","Moderate-term on-the-job training"
"830","Word processors and typists",44,27,44330,"High school diploma or equivalent","Short-term on-the-job training"
"831","Writers and authors",151.2,156.8,73150,"Bachelor's degree","Long-term on-the-job training"
"832","Zoologists and wildlife biologists",19.1,19.7,67430,"Bachelor's degree","None"
